"","word_tokens"
"1","kristy"
"2","siegfried"
"3","10"
"4","december"
"5","2021at"
"6","53"
"7","migrants"
"8","killed"
"9","southern"
"10","mexico"
"11","road"
"12","accident"
"13","overturning"
"14","truck"
"15","crammed"
"16","100"
"17","migrants"
"18","southern"
"19","mexican"
"20","chiapas"
"21","thursday"
"22","left"
"23","53"
"24","people"
"25","dead"
"26","58"
"27","injured"
"28","civil"
"29","protection"
"30","officials"
"31","driver"
"32","speeding"
"33","lost"
"34","control"
"35","vehicle"
"36","highway"
"37","connecting"
"38","city"
"39","chiapa"
"40","de"
"41","corzo"
"42","capital"
"43","tuxtla"
"44","gutierrez"
"45","prior"
"46","crash"
"47","mexican"
"48","officials"
"49","stepped"
"50","transfers"
"51","central"
"52","american"
"53","migrants"
"54","southern"
"55","mexico"
"56","regions"
"57","country"
"58","thousands"
"59","remain"
"60","city"
"61","tapachula"
"62","close"
"63","guatemalan"
"64","border"
"65","living"
"66","makeshift"
"67","shelters"
"68","overcrowded"
"69","accommodation"
"70","wait"
"71","asylum"
"72","processed"
"73","ap"
"74","reports"
"75","mexico’s"
"76","refugee"
"77","agency"
"78","comar"
"79","dealing"
"80","unprecedented"
"81","requests"
"82","humanitarian"
"83","visas"
"84","delayed"
"85","processing"
"86","asylum"
"87","claims"
"88","comar"
"89","record"
"90","123,000"
"91","asylum"
"92","requests"
"93","filed"
"94","2021"
"95","unhcr"
"96","called"
"97","alternatives"
"98","asylum"
"99","process"
"100","people"
"101","qualify"
"102","refugee"
"103","status"
"104","support"
"105","absence"
"106","alternatives"
"107","agency"
"108","people"
"109","decide"
"110","risks"
"111","fatal"
"112","consequences"
"113","30,000"
"114","flee"
"115","fighting"
"116","herders"
"117","farmers"
"118","northern"
"119","cameroon"
"120","resurgence"
"121","tit"
"122","tat"
"123","violence"
"124","herders"
"125","fishermen"
"126","farmers"
"127","scarce"
"128","water"
"129","resources"
"130","killed"
"131","22"
"132","people"
"133","cameroon’s"
"134","north"
"135","region"
"136","sunday"
"137","forced"
"138","30,000"
"139","people"
"140","flee"
"141","neighbouring"
"142","chad"
"143","thousands"
"144","displaced"
"145","inside"
"146","cameroon"
"147","traditional"
"148","leader"
"149","told"
"150","reuters"
"151","violence"
"152","herder"
"153","bring"
"154","cattle"
"155","banks"
"156","river"
"157","prevented"
"158","farmers"
"159","fishermen"
"160","fighting"
"161","erupted"
"162","city"
"163","kousseri"
"164","cattle"
"165","market"
"166","destroyed"
"167","10,000"
"168","people"
"169","fled"
"170","chad’s"
"171","capital"
"172","city"
"173","n’djamena"
"174","crossing"
"175","chari"
"176","logone"
"177","rivers"
"178","mark"
"179","border"
"180","unhcr"
"181","climate"
"182","crisis"
"183","worsening"
"184","tensions"
"185","region"
"186","water"
"187","resources"
"188","dwindle"
"189","outbreak"
"190","intercommunal"
"191","violence"
"192","occurred"
"193","august"
"194","displacing"
"195","23,000"
"196","people"
"197","8,500"
"198","remained"
"199","chad"
"200","unhcr"
"201","authorities"
"202","leading"
"203","reconciliation"
"204","efforts"
"205","kousseri"
"206","week"
"207","violence"
"208","broke"
"209","out.eu"
"210","countries"
"211","agree"
"212","40,000"
"213","afghans"
"214","15"
"215","european"
"216","union"
"217","agreed"
"218","40,000"
"219","afghans"
"220","european"
"221","commissioner"
"222","home"
"223","affairs"
"224","ylva"
"225","johansson"
"226","meeting"
"227","interior"
"228","ministers"
"229","thursday"
"230","arrive"
"231","evacuation"
"232","humanitarian"
"233","admission"
"234","programmes"
"235","resettled"
"236","refugees"
"237","germany"
"238","accept"
"239","half"
"240","afghans"
"241","netherlands"
"242","spain"
"243","france"
"244","countries"
"245","taking"
"246","media"
"247","reports"
"248","commissioner"
"249","refugees"
"250","filippo"
"251","grandi"
"252","previously"
"253","urged"
"254","bloc"
"255","resettle"
"256","42,500"
"257","afghans"
"258","half"
"259","85,000"
"260","afghan"
"261","refugees"
"262","unhcr"
"263","considers"
"264","vulnerable"
"265","agency"
"266","warned"
"267","increasingly"
"268","dire"
"269","humanitarian"
"270","situation"
"271","inside"
"272","afghanistan"
"273","compel"
"274","thousands"
"275","flee"
"276","country"
"277","aftermath"
"278","military"
"279","withdrawal"
"280","return"
"281","taliban"
"282","august"
"283","eu"
"284","28,000"
"285","evacuated"
"286","afghans"
"287","united"
"288","process"
"289","resettling"
"290","60,000"
"291","evacuees"
"292","canada"
"293","committed"
"294","welcoming"
"295","40,000"
"296","afghans"
"297","uk"
"298","resettle"
"299","20,000"
"300","coming"
"301","years.clashes"
"302","displace"
"303","thousands"
"304","sudan’s"
"305","darfur"
"306","10,000"
"307","people"
"308","fled"
"309","wave"
"310","intercommunal"
"311","violence"
"312","jebel"
"313","moon"
"314","sudan’s"
"315","west"
"316","darfur"
"317","unhcr"
"318","2,000"
"319","sought"
"320","refuge"
"321","neighbouring"
"322","chad"
"323","afp"
"324","reports"
"325","outbreak"
"326","violence"
"327","17"
"328","november"
"329","killed"
"330","100"
"331","people"
"332","including"
"333","50"
"334","weekend"
"335","krink"
"336","80"
"337","kilometres"
"338","capital"
"339","el"
"340","geneina"
"341","unhcr"
"342","tensions"
"343","remained"
"344","teams"
"345","receiving"
"346","reports"
"347","darfur"
"348","destruction"
"349","villages"
"350","sexual"
"351","violence"
"352","livestock"
"353","rustling"
"354","violence"
"355","disrupted"
"356","farming"
"357","season"
"358","raising"
"359","concerns"
"360","food"
"361","security"
"362","worsening"
"363","humanitarian"
"364","situation"
"365","office"
"366","coordination"
"367","humanitarian"
"368","affairs"
"369","6.2"
"370","million"
"371","people"
"372","darfur"
"373","half"
"374","population"
"375","humanitarian"
"376","assistance"
"377","year.uk"
"378","government’s"
"379","immigration"
"380","bill"
"381","clears"
"382","house"
"383","commons"
"384","nationality"
"385","borders"
"386","bill"
"387","includes"
"388","measures"
"389","allowing"
"390","uk"
"391","border"
"392","officials"
"393","migrants"
"394","sea"
"395","send"
"396","asylum"
"397","seekers"
"398","country"
"399","claims"
"400","considered"
"401","approved"
"402","house"
"403","commons"
"404","wednesday"
"405","independent"
"406","reports"
"407","80"
"408","pages"
"409","amendments"
"410","tabled"
"411","mps"
"412","concerned"
"413","bill’s"
"414","impact"
"415","current"
"416","form"
"417","voted"
"418","channel"
"419","4"
"420","reports"
"421","reaching"
"422","implications"
"423","bill"
"424","asylum"
"425","seekers"
"426","attempting"
"427","reach"
"428","uk"
"429","channel"
"430","bill"
"431","law"
"432","reaching"
"433","country"
"434","called"
"435","legal"
"436","routes"
"437","adverse"
"438","effect"
"439","asylum"
"440","claims"
"441","unhcr’s"
"442","representative"
"443","uk"
"444","rossella"
"445","pagliuchi"
"446","lor"
"447","prevent"
"448","people"
"449","acquiring"
"450","status"
"451","found"
"452","international"
"453","protection"
"454","bill"
"455","house"
"456","lords.un"
"457","refugee"
"458","chief"
"459","warns"
"460","world’s"
"461","failure"
"462","address"
"463","displacement"
"464","addressing"
"465","security"
"466","council"
"467","tuesday"
"468","commissioner"
"469","refugees"
"470","filippo"
"471","grandi"
"472","international"
