"","word_tokens"
"1","kristy"
"2","siegfried"
"3","21"
"4","january"
"5","2022refugees"
"6","ethiopia’s"
"7","tigray"
"8","cut"
"9","food"
"10","water"
"11","medicines"
"12","unhcr"
"13","staff"
"14","managed"
"15","reach"
"16","camps"
"17","eritrean"
"18","refugees"
"19","northern"
"20","ethiopia’s"
"21","tigray"
"22","region"
"23","week"
"24","time"
"25","air"
"26","strike"
"27","hit"
"28","camps"
"29","5"
"30","january"
"31","killing"
"32","people"
"33","found"
"34","refugees"
"35","scared"
"36","struggling"
"37","eat"
"38","lacking"
"39","medicine"
"40","access"
"41","clean"
"42","water"
"43","unhcr"
"44","spokesperson"
"45","boris"
"46","cheshirkov"
"47","relief"
"48","agencies"
"49","struggled"
"50","bring"
"51","aid"
"52","blockaded"
"53","region"
"54","months"
"55","office"
"56","coordination"
"57","humanitarian"
"58","affairs"
"59","ocha"
"60","noting"
"61","thursday"
"62","humanitarian"
"63","supplies"
"64","reached"
"65","tigray"
"66","14"
"67","december"
"68","stocks"
"69","food"
"70","aid"
"71","fuel"
"72","exhausted"
"73","refugees"
"74","camps"
"75","told"
"76","unhcr"
"77","staff"
"78","20"
"79","people"
"80","died"
"81","past"
"82","weeks"
"83","due"
"84","worsening"
"85","conditions"
"86","lack"
"87","medicines"
"88","fuel"
"89","pumping"
"90","trucking"
"91","water"
"92","camps"
"93","refugees"
"94","forced"
"95","collect"
"96","untreated"
"97","water"
"98","streams"
"99","rapidly"
"100","drying"
"101","unhcr"
"102","calling"
"103","safe"
"104","passage"
"105","25,000"
"106","refugees"
"107","relocated"
"108","site"
"109","neighbouring"
"110","amhara"
"111","region"
"112","access"
"113","humanitarian"
"114","assistance"
"115","reach"
"116","need.displaced"
"117","syrians"
"118","risk"
"119","severe"
"120","winter"
"121","storm"
"122","hits"
"123","region"
"124","heavy"
"125","snowfall"
"126","record"
"127","low"
"128","temperatures"
"129","hit"
"130","syria"
"131","lebanon"
"132","jordan"
"133","week"
"134","worsening"
"135","plight"
"136","thousands"
"137","syrians"
"138","displaced"
"139","region"
"140","lebanon"
"141","economic"
"142","crisis"
"143","left"
"144","increasing"
"145","syrian"
"146","lebanese"
"147","families"
"148","unable"
"149","afford"
"150","fuel"
"151","heat"
"152","homes"
"153","shelters"
"154","winter"
"155","arsal"
"156","mountainous"
"157","northeast"
"158","country"
"159","syrian"
"160","refugees"
"161","live"
"162","flimsy"
"163","tents"
"164","blankets"
"165","warm"
"166","north"
"167","north"
"168","west"
"169","syria"
"170","tents"
"171","camps"
"172","internally"
"173","displaced"
"174","people"
"175","blanketed"
"176","snow"
"177","roads"
"178","blocked"
"179","cnn"
"180","reports"
"181","children"
"182","died"
"183","tent"
"184","collapsed"
"185","due"
"186","accumulation"
"187","snow"
"188","fire"
"189","caused"
"190","heater"
"191","broke"
"192","tent"
"193","thursday"
"194","un’s"
"195","office"
"196","coordination"
"197","humanitarian"
"198","affairs"
"199","reported"
"200","362"
"201","tents"
"202","damaged"
"203","urgent"
"204","unblock"
"205","roads"
"206","aid"
"207","workers"
"208","access"
"209","camps.cyber"
"210","attack"
"211","icrc"
"212","exposes"
"213","data"
"214","515,000"
"215","vulnerable"
"216","people"
"217","international"
"218","committee"
"219","red"
"220","cross"
"221","week"
"222","hacking"
"223","attack"
"224","data"
"225","servers"
"226","compromised"
"227","confidential"
"228","information"
"229","half"
"230","million"
"231","vulnerable"
"232","people"
"233","including"
"234","separated"
"235","families"
"236","due"
"237","conflict"
"238","migration"
"239","disaster"
"240","information"
"241","60"
"242","red"
"243","cross"
"244","red"
"245","crescent"
"246","chapters"
"247","world"
"248","breach"
"249","targeted"
"250","contractor"
"251","switzerland"
"252","stores"
"253","data"
"254","organization"
"255","indication"
"256","data"
"257","publicly"
"258","shared"
"259","leaked"
"260","attack"
"261","icrc’s"
"262","director"
"263","robert"
"264","mardini"
"265","appealed"
"266","culprits"
"267","share"
"268","sell"
"269","leak"
"270","data"
"271","breach"
"272","forced"
"273","organization"
"274","shut"
"275","systems"
"276","aimed"
"277","reuniting"
"278","family"
"279","separated"
"280","conflict"
"281","disaster"
"282","migration.two"
"283","earthquakes"
"284","strike"
"285","afghanistan"
"286","earthquakes"
"287","struck"
"288","remote"
"289","mountainous"
"290","western"
"291","afghanistan"
"292","monday"
"293","killing"
"294","27"
"295","people"
"296","destroying"
"297","hundreds"
"298","homes"
"299","qadis"
"300","district"
"301","days"
"302","heavy"
"303","rainfall"
"304","prior"
"305","earthquake"
"306","left"
"307","mud"
"308","brick"
"309","houses"
"310","vulnerable"
"311","spokesperson"
"312","governor"
"313","badghis"
"314","province"
"315","border"
"316","turkmenistan"
"317","resident"
"318","told"
"319","york"
"320","times"
"321","death"
"322","toll"
"323","rise"
"324","families"
"325","buried"
"326","rubble"
"327","unhcr"
"328","distributing"
"329","tents"
"330","blankets"
"331","household"
"332","items"
"333","affected"
"334","households"
"335","afghanistan"
"336","grip"
"337","humanitarian"
"338","crisis"
"339","economy"
"340","free"
"341","fall"
"342","half"
"343","population"
"344","facing"
"345","acute"
"346","hunger"
"347","devastating"
"348","drought"
"349","compounded"
"350","crisis"
"351","earthquake"
"352","hit"
"353","qadis"
"354","worst"
"355","affected"
"356","areas.uk"
"357","judge"
"358","rules"
"359","age"
"360","assessments"
"361","asylum"
"362","seekers"
"363","unlawful"
"364","court"
"365","judge"
"366","uk"
"367","ruled"
"368","wednesday"
"369","home"
"370","office’s"
"371","process"
"372","assessing"
"373","age"
"374","asylum"
"375","seekers"
"376","arrive"
"377","uk"
"378","unlawful"
"379","involved"
"380","teenage"
"381","asylum"
"382","seekers"
"383","adult"
"384","immigration"
"385","removal"
"386","centres"
"387","ages"
"388","wrongly"
"389","assessed"
"390","social"
"391","workers"
"392","judge"
"393","ruled"
"394","policy"
"395","detaining"
"396","people"
"397","age"
"398","assessment"
"399","immediately"
"400","arrival"
"401","unlawful"
"402","independent"
"403","reports"
"404","september"
"405","2020"
"406","hundreds"
"407","unaccompanied"
"408","people"
"409","arriving"
"410","uk"
"411","shores"
"412","detained"
"413","government"
"414","facility"
"415","called"
"416","kent"
"417","intake"
"418","unit"
"419","purposes"
"420","carrying"
"421","short"
"422","age"
"423","assessments"
"424","nationality"
"425","borders"
"426","bill"
"427","parliament"
"428","home"
"429","office"
"430","methods"
"431","ray"
"432","dental"
"433","analysis"
"434","assessing"
"435","age"
"436","accuracy"
"437","methods"
"438","questioned"
"439","medical"
"440","bodies.new"
"441","eu"
"442","asylum"
"443","agency"
"444","starts"
"445","independent"
"446","body"
"447","european"
"448","union"
"449","agency"
"450","asylum"
"451","euaa"
"452","started"
"453","wednesday"
"454","called"
"455","reinforced"
"456","mandate"
"457","support"
"458","implementing"
"459","consistent"
"460","asylum"
"461","practises"
"462","bloc"
"463","euaa"
"464","replacing"
"465","european"
"466","asylum"
"467","support"
"468","office"
"469","easo"
"470","operating"
"471","2011"
"472","narrower"
"473","mandate"
"474","reception"
"475","conditions"
"476","asylum"
"477","procedures"
"478","rates"
