"","word_tokens"
"1","kristy"
"2","siegfried"
"3","11"
"4","february"
"5","2022displacement"
"6","inside"
"7","myanmar"
"8","doubles"
"9","conflict"
"10","intensifies"
"11","unhcr"
"12","stepping"
"13","emergency"
"14","response"
"15","assist"
"16","hundreds"
"17","thousands"
"18","internally"
"19","displaced"
"20","people"
"21","myanmar"
"22","crossed"
"23","800,000"
"24","mark"
"25","370,000"
"26","military"
"27","takeover"
"28","february"
"29","2021"
"30","security"
"31","deteriorating"
"32","rapidly"
"33","country"
"34","people"
"35","expected"
"36","forced"
"37","homes"
"38","coming"
"39","weeks"
"40","months"
"41","unhcr"
"42","440,000"
"43","people"
"44","newly"
"45","displaced"
"46","past"
"47","half"
"48","south"
"49","east"
"50","country"
"51","kayah"
"52","kayin"
"53","worst"
"54","affected"
"55","fighting"
"56","armed"
"57","chin"
"58","myanmar’s"
"59","north"
"60","west"
"61","scale"
"62","displacement"
"63","humanitarian"
"64","access"
"65","restricted"
"66","country"
"67","local"
"68","communities"
"69","charities"
"70","playing"
"71","leading"
"72","role"
"73","helping"
"74","displaced"
"75","people"
"76","unhcr"
"77","assistance"
"78","reached"
"79","170,000"
"80","people"
"81","planned"
"82","expand"
"83","presence"
"84","displacements"
"85","occurring"
"86","2022"
"87","hunger"
"88","spreads"
"89","horn"
"90","africa"
"91","drought"
"92","worsens"
"93","horn"
"94","africa"
"95","region"
"96","experiencing"
"97","worst"
"98","droughts"
"99","recent"
"100","history"
"101","agencies"
"102","warned"
"103","week"
"104","estimated"
"105","13"
"106","million"
"107","people"
"108","ethiopia"
"109","kenya"
"110","somalia"
"111","facing"
"112","severe"
"113","hunger"
"114","consecutive"
"115","failed"
"116","rainy"
"117","seasons"
"118","families"
"119","taking"
"120","desperate"
"121","measures"
"122","survive"
"123","thousands"
"124","leaving"
"125","homes"
"126","search"
"127","food"
"128","water"
"129","pasture"
"130","world"
"131","food"
"132","programme"
"133","displacements"
"134","leading"
"135","increased"
"136","tensions"
"137","conflict"
"138","communities"
"139","forecasts"
"140","average"
"141","rainfall"
"142","threaten"
"143","worsen"
"144","dire"
"145","conditions"
"146","coming"
"147","months"
"148","somalia"
"149","hardest"
"150","hit"
"151","people"
"152","moving"
"153","camps"
"154","displaced"
"155","people"
"156","outskirts"
"157","towns"
"158","dangerous"
"159","journeys"
"160","controlled"
"161","armed"
"162","search"
"163","humanitarian"
"164","assistance"
"165","appealing"
"166","4.4"
"167","billion"
"168","provide"
"169","life"
"170","saving"
"171","assistance"
"172","29"
"173","million"
"174","people"
"175","affected"
"176","countries"
"177","year.death"
"178","venezuelan"
"179","baby"
"180","prompts"
"181","calls"
"182","stronger"
"183","protection"
"184","measures"
"185","trinidad"
"186","tobago"
"187","coast"
"188","guard"
"189","officers"
"190","fired"
"191","boat"
"192","carrying"
"193","people"
"194","venezuela"
"195","saturday"
"196","night"
"197","wounding"
"198","mother"
"199","killing"
"200","baby"
"201","arms"
"202","authorities"
"203","sunday"
"204","shooting"
"205","occurred"
"206","officers"
"207","attempted"
"208","intercept"
"209","boat"
"210","entered"
"211","caribbean"
"212","nation’s"
"213","territorial"
"214","waters"
"215","absence"
"216","safer"
"217","routes"
"218","venezuelan"
"219","refugees"
"220","migrants"
"221","resort"
"222","risky"
"223","sea"
"224","crossings"
"225","afp"
"226","reports"
"227","2018"
"228","100"
"229","people"
"230","lost"
"231","lives"
"232","sinkings"
"233","venezuela"
"234","trinidad"
"235","tobago"
"236","joint"
"237","statement"
"238","monday"
"239","unhcr"
"240","iom"
"241","ohchr"
"242","called"
"243","establish"
"244","safer"
"245","pathways"
"246","stronger"
"247","measures"
"248","protect"
"249","rights"
"250","people"
"251","move.construction"
"252","asylum"
"253","centre"
"254","greek"
"255","island"
"256","sparks"
"257","protests"
"258","greek"
"259","police"
"260","detained"
"261","people"
"262","island"
"263","lesvos"
"264","tuesday"
"265","violence"
"266","broke"
"267","protest"
"268","plans"
"269","build"
"270","reception"
"271","centre"
"272","asylum"
"273","seekers"
"274","peaceful"
"275","march"
"276","building"
"277","site"
"278","reportedly"
"279","violent"
"280","protesters"
"281","set"
"282","fire"
"283","earth"
"284","moving"
"285","machinery"
"286","eu"
"287","funded"
"288","facility"
"289","due"
"290","completed"
"291","september"
"292","capacity"
"293","house"
"294","3,000"
"295","asylum"
"296","seekers"
"297","moria"
"298","reception"
"299","centre"
"300","previously"
"301","housed"
"302","asylum"
"303","seekers"
"304","lesvos"
"305","destroyed"
"306","fire"
"307","september"
"308","2020"
"309","asylum"
"310","seekers"
"311","staying"
"312","temporary"
"313","camp"
"314","moved"
"315","mainland"
"316","eu"
"317","funding"
"318","building"
"319","reception"
"320","facilities"
"321","greek"
"322","islands"
"323","completed"
"324","samos"
"325","kos"
"326","leros"
"327","islands"
"328","criticized"
"329","human"
"330","rights"
"331","restrictions"
"332","freedom"
"333","movement"
"334","locals"
"335","opposed"
"336","building"
"337","facilities.cameroonian"
"338","asylum"
"339","seekers"
"340","deported"
"341","subjected"
"342","abuse"
"343","report"
"344","cameroonian"
"345","asylum"
"346","seekers"
"347","deported"
"348","united"
"349","trump"
"350","administration"
"351","suffered"
"352","imprisonment"
"353","torture"
"354","rape"
"355","return"
"356","report"
"357","released"
"358","week"
"359","human"
"360","rights"
"361","watch"
"362","deportations"
"363","warnings"
"364","lawyers"
"365","human"
"366","rights"
"367","danger"
"368","asylum"
"369","claims"
"370","credible"
"371","deportees"
"372","fled"
"373","cameroon"
"374","escape"
"375","armed"
"376","conflict"
"377","violent"
"378","confrontations"
"379","government"
"380","crackdown"
"381","leading"
"382","humanitarian"
"383","crisis"
"384","report"
"385","found"
"386","deported"
"387","cameroon"
"388","2019"
"389","2020"
"390","faced"
"391","reprisals"
"392","sort"
"393","return"
"394","including"
"395","imprisonment"
"396","detention"
"397","reportedly"
"398","forced"
"399","hiding"
"400","fled"
"401","country"
"402","more.afghan"
"403","evacuees"
"404","uae"
"405","protest"
"406","delays"
"407","relocation"
"408","process"
"409","wall"
"410","street"
"411","journal"
"412","reports"
"413","protests"
"414","erupted"
"415","late"
"416","wednesday"
"417","night"
"418","thousands"
"419","afghans"
"420","conditions"
"421","facility"
"422","united"
"423","arab"
"424","emirates"
"425","housed"
"426","afghans"
"427","evacuated"
"428","uae"
"429","behalf"
"430","united"
"431","western"
"432","countries"
"433","withdrawal"
"434","foreign"
"435","forces"
"436","afghanistan"
"437","taliban’s"
"438","return"
"439","power"
"440","uae"
"441","agreed"
"442","provide"
"443","afghans"
"444","temporary"
"445","housing"
"446","travel"
"447","onwards"
"448","countries"
"449","months"
"450","received"
"451","news"
"452","immigration"
"453","uae"
"454","thousands"
"455","afghans"
"456","similar"
"457","limbo"
"458","southeastern"
"459","european"
"460","countries"
"461","albania"
"462","greece"
"463","world"
"464","including"
"465","uganda"
"466","mexico"
"467","chile.disney’s"
"468","animated"
"469","film"
"470","encanto"
"471","received"
"472","oscar"
"473","nominations"
"474","week"
"475","film"
"476","sparked"
"477","positive"
"478","conversations"
"479","refugees"
