"","word_tokens"
"1","kristy"
"2","siegfried"
"3","28"
"4","january"
"5","2022burkina"
"6","faso"
"7","coup"
"8","prompts"
"9","fears"
"10","instability"
"11","army"
"12","officers"
"13","demanding"
"14","support"
"15","fight"
"16","armed"
"17","announced"
"18","monday"
"19","ousted"
"20","burkina"
"21","faso’s"
"22","democratically"
"23","elected"
"24","president"
"25","roch"
"26","kaboré"
"27","military"
"28","takeover"
"29","prompted"
"30","widespread"
"31","international"
"32","condemnation"
"33","greeted"
"34","significant"
"35","support"
"36","inside"
"37","burkina"
"38","faso"
"39","civilians"
"40","primary"
"41","victims"
"42","violence"
"43","armed"
"44","1.5"
"45","million"
"46","people"
"47","displaced"
"48","conflict"
"49","coup"
"50","fourth"
"51","string"
"52","recent"
"53","military"
"54","takeovers"
"55","west"
"56","central"
"57","africa"
"58","unleash"
"59","instability"
"60","insecurity"
"61","region"
"62","analysts"
"63","afp"
"64","reports"
"65","côte"
"66","d’ivoire"
"67","thousands"
"68","people"
"69","fled"
"70","border"
"71","southern"
"72","burkina"
"73","faso"
"74","recent"
"75","months"
"76","living"
"77","limbo"
"78","remains"
"79","unresolved"
"80","coup"
"81","authorities"
"82","estimate"
"83","6,000"
"84","people"
"85","abandoned"
"86","homes"
"87","fields"
"88","burkina"
"89","faso"
"90","armed"
"91","arrived"
"92","villages"
"93","refugees"
"94","relatives"
"95","côte"
"96","d’ivoire"
"97","families"
"98","living"
"99","border"
"100","relations"
"101","host"
"102","families"
"103","struggling"
"104","feed"
"105","arrivals"
"106","arrive"
"107","week.shipwreck"
"108","highlights"
"109","rising"
"110","risking"
"111","perilous"
"112","sea"
"113","routes"
"114","sole"
"115","survivor"
"116","found"
"117","clinging"
"118","overturned"
"119","vessel"
"120","florida’s"
"121","atlantic"
"122","coast"
"123","tuesday"
"124","told"
"125","authorities"
"126","40"
"127","people"
"128","set"
"129","bahamas"
"130","bimini"
"131","islands"
"132","saturday"
"133","night"
"134","thursday"
"135","coast"
"136","guard"
"137","called"
"138","search"
"139","bodies"
"140","recovered"
"141","incident"
"142","occurred"
"143","coast"
"144","guard"
"145","authorities"
"146","warned"
"147","rising"
"148","migrants"
"149","asylum"
"150","seekers"
"151","countries"
"152","including"
"153","haiti"
"154","cuba"
"155","risky"
"156","sea"
"157","voyages"
"158","reach"
"159","united"
"160","experts"
"161","told"
"162","york"
"163","times"
"164","increase"
"165","related"
"166","tougher"
"167","border"
"168","enforcement"
"169","measures"
"170","mexico"
"171","land"
"172","border"
"173","political"
"174","economic"
"175","instability"
"176","violence"
"177","natural"
"178","disasters"
"179","latin"
"180","american"
"181","caribbean"
"182","countries"
"183","people"
"184","coming"
"185","2021"
"186","fiscal"
"187","3,200"
"188","people"
"189","apprehended"
"190","reach"
"191","sea"
"192","1,968"
"193","apprehensions"
"194","southern"
"195","california"
"196","coast"
"197","rest"
"198","florida"
"199","coast"
"200","smugglers"
"201","typically"
"202","overload"
"203","vessels"
"204","provide"
"205","life"
"206","jackets"
"207","people"
"208","perilous"
"209","voyage"
"210","florida"
"211","straits"
"212","bahamas.afghanistan"
"213","hanging"
"214","thread"
"215","chief"
"216","secretary"
"217","antónio"
"218","guterres"
"219","urged"
"220","nations"
"221","wednesday"
"222","significantly"
"223","boost"
"224","humanitarian"
"225","aid"
"226","millions"
"227","afghans"
"228","living"
"229","frozen"
"230","hell"
"231","urged"
"232","countries"
"233","suspend"
"234","rules"
"235","conditions"
"236","taliban"
"237","control"
"238","august"
"239","frozen"
"240","9"
"241","billion"
"242","central"
"243","bank"
"244","assets"
"245","starved"
"246","afghan"
"247","economy"
"248","lifesaving"
"249","humanitarian"
"250","operations"
"251","funds"
"252","ap"
"253","reports"
"254","bitter"
"255","winter"
"256","cold"
"257","devastating"
"258","vulnerable"
"259","aid"
"260","organizations"
"261","scrambling"
"262","people"
"263","lack"
"264","food"
"265","fuel"
"266","roads"
"267","country"
"268","deep"
"269","snow"
"270","passage"
"271","hundreds"
"272","trucks"
"273","transporting"
"274","food"
"275","aid"
"276","slow"
"277","difficult"
"278","sky"
"279","news"
"280","reports"
"281","afghans"
"282","resorting"
"283","desperate"
"284","measures"
"285","feed"
"286","including"
"287","selling"
"288","kidneys"
"289","children"
"290","guterres"
"291","warned"
"292","allowing"
"293","afghan"
"294","economy"
"295","completely"
"296","collapse"
"297","lead"
"298","massive"
"299","exodus"
"300","people"
"301","fleeing"
"302","country"
"303","poland"
"304","starts"
"305","building"
"306","metal"
"307","wall"
"308","border"
"309","belarus"
"310","construction"
"311","week"
"312","5.5"
"313","metre"
"314","metal"
"315","wall"
"316","topped"
"317","barbed"
"318","wire"
"319","equipped"
"320","motion"
"321","detectors"
"322","thermal"
"323","cameras"
"324","run"
"325","180"
"326","kilometres"
"327","poland’s"
"328","border"
"329","belarus"
"330","cutting"
"331","protected"
"332","forest"
"333","due"
"334","completed"
"335","june"
"336","cost"
"337","394"
"338","million"
"339","thousands"
"340","migrants"
"341","asylum"
"342","seekers"
"343","iraq"
"344","attempted"
"345","cross"
"346","belarus"
"347","poland"
"348","summer"
"349","hundreds"
"350","pushed"
"351","polish"
"352","border"
"353","guards"
"354","21"
"355","people"
"356","died"
"357","missing"
"358","forested"
"359","border"
"360","iom"
"361","figures"
"362","aid"
"363","workers"
"364","rights"
"365","worry"
"366","wall"
"367","prevent"
"368","people"
"369","fleeing"
"370","conflicts"
"371","persecution"
"372","apply"
"373","asylum"
"374","lithuania"
"375","started"
"376","building"
"377","wall"
"378","frontier"
"379","belarus.drought"
"380","threatens"
"381","displace"
"382","1"
"383","million"
"384","somalia"
"385","intensifying"
"386","drought"
"387","somalia"
"388","displace"
"389","1.4"
"390","million"
"391","people"
"392","months"
"393","iom"
"394","warned"
"395","week"
"396","245,000"
"397","people"
"398","abandoned"
"399","homes"
"400","search"
"401","food"
"402","water"
"403","pasture"
"404","central"
"405","southern"
"406","regions"
"407","country"
"408","voice"
"409","america"
"410","reports"
"411","thousands"
"412","flocked"
"413","cities"
"414","capital"
"415","mogadishu"
"416","living"
"417","makeshift"
"418","shelters"
"419","cramped"
"420","conditions"
"421","assistance"
"422","reportedly"
"423","crossed"
"424","neighbouring"
"425","ethiopia"
"426","extreme"
"427","weather"
"428","events"
"429","floods"
"430","drought"
"431","combined"
"432","decades"
"433","internal"
"434","conflict"
"435","leave"
"436","estimated"
"437","2.9"
"438","million"
"439","somalis"
"440","internally"
"441","displaced"
"442","drought"
"443","conditions"
"444","tend"
"445","create"
"446","tensions"
"447","grazing"
"448","water"
"449","sources"
"450","increase"
"451","conflict"
"452","people"
"453","forced"
"454","move.rights"
"455","accuses"
"456","egypt"
"457","forcibly"
"458","returning"
"459","eritrean"
"460","asylum"
"461","seekers"
"462","human"
"463","rights"
"464","watch"
"465","thursday"
"466","egyptian"
"467","authorities"
"468","deported"
"469","24"
"470","eritrean"
"471","asylum"
"472","seekers"
"473","including"
"474","children"
"475","24"
"476","december"
"477","assessing"
"478","asylum"
"479","claims"
"480","allowing"
"481","register"
