"","word_tokens"
"1","kristy"
"2","siegfried"
"3","3"
"4","december"
"5","2021millions"
"6","afghans"
"7","brink"
"8","famine"
"9","23"
"10","million"
"11","afghans"
"12","half"
"13","population"
"14","facing"
"15","extreme"
"16","levels"
"17","hunger"
"18","8.7"
"19","million"
"20","risk"
"21","famine"
"22","world"
"23","food"
"24","programme"
"25","warned"
"26","thursday"
"27","urged"
"28","international"
"29","community"
"30","politics"
"31","step"
"32","support"
"33","avert"
"34","catastrophe"
"35","afghanistan"
"36","hit"
"37","multiple"
"38","worsening"
"39","crises"
"40","including"
"41","economic"
"42","collapse"
"43","widespread"
"44","displacement"
"45","resulting"
"46","country’s"
"47","running"
"48","conflict"
"49","drought"
"50","climate"
"51","related"
"52","emergencies"
"53","briefing"
"54","reporters"
"55","friday"
"56","unhcr"
"57","spokesperson"
"58","babar"
"59","baloch"
"60","3.5"
"61","million"
"62","forcibly"
"63","displaced"
"64","afghans"
"65","including"
"66","700,000"
"67","displaced"
"68","urgently"
"69","support"
"70","winter"
"71","sets"
"72","lack"
"73","proper"
"74","shelter"
"75","warm"
"76","clothes"
"77","fuel"
"78","heating"
"79","adequate"
"80","food"
"81","ap"
"82","reports"
"83","kabul’s"
"84","ataturk"
"85","children’s"
"86","hospital"
"87","malnutrition"
"88","ward"
"89","filled"
"90","capacity"
"91","acutely"
"92","malnourished"
"93","children"
"94","health"
"95","facilities"
"96","country"
"97","forced"
"98","close"
"99","due"
"100","suspension"
"101","foreign"
"102","aid"
"103","taliban"
"104","power"
"105","august"
"106","earlier"
"107","week"
"108","unhcr"
"109","expressed"
"110","concern"
"111","escalating"
"112","risks"
"113","faced"
"114","afghans"
"115","attempting"
"116","flee"
"117","neighbouring"
"118","countries"
"119","situation"
"120","home"
"121","deteriorates"
"122","borders"
"123","closed"
"124","vast"
"125","majority"
"126","afghans"
"127","resorting"
"128","smugglers"
"129","deportations"
"130","afghans"
"131","pakistan"
"132","iran"
"133","tajikistan"
"134","increased.us"
"135","restart"
"136","programme"
"137","requiring"
"138","asylum"
"139","seekers"
"140","wait"
"141","mexico"
"142","biden"
"143","administration"
"144","restart"
"145","programme"
"146","begun"
"147","previous"
"148","administration"
"149","requires"
"150","asylum"
"151","seekers"
"152","wait"
"153","mexico"
"154","immigration"
"155","hearings"
"156","mexican"
"157","officials"
"158","thursday"
"159","president"
"160","joe"
"161","biden"
"162","suspended"
"163","policy"
"164","inauguration"
"165","january"
"166","federal"
"167","judge"
"168","august"
"169","reinstated"
"170","administration"
"171","wait"
"172","mexico’s"
"173","agreement"
"174","policy"
"175","restart"
"176","including"
"177","humanitarian"
"178","improvements"
"179","agreed"
"180","conclude"
"181","months"
"182","individual’s"
"183","return"
"184","mexico"
"185","improve"
"186","access"
"187","legal"
"188","assistance"
"189","vulnerable"
"190","people"
"191","elderly"
"192","risk"
"193","persecution"
"194","mexico"
"195","excluded"
"196","policy"
"197","due"
"198","restart"
"199","week"
"200","unhcr"
"201","announced"
"202","adjustments"
"203","programme"
"204","address"
"205","fundamental"
"206","concerns"
"207","impact"
"208","asylum"
"209","seekers"
"210","safety"
"211","due"
"212","process"
"213","reinstatement"
"214","public"
"215","health"
"216","title"
"217","42"
"218","border"
"219","authorities"
"220","rapidly"
"221","return"
"222","asylum"
"223","seekers"
"224","remains"
"225","use.eu"
"226","proposes"
"227","emergency"
"228","measures"
"229","belarus"
"230","borders"
"231","european"
"232","commission"
"233","wednesday"
"234","proposed"
"235","emergency"
"236","asylum"
"237","procedure"
"238","authorities"
"239","poland"
"240","lithuania"
"241","latvia"
"242","time"
"243","register"
"244","claims"
"245","asylum"
"246","migrants"
"247","refugees"
"248","arriving"
"249","belarus"
"250","increasing"
"251","people"
"252","attempting"
"253","cross"
"254","countries"
"255","belarus"
"256","recent"
"257","months"
"258","approved"
"259","european"
"260","council"
"261","amended"
"262","rules"
"263","authorities"
"264","16"
"265","weeks"
"266","asylum"
"267","requests"
"268","standard"
"269","weeks"
"270","time"
"271","asylum"
"272","seekers"
"273","detained"
"274","closed"
"275","centres"
"276","emergency"
"277","measures"
"278","include"
"279","increasing"
"280","deadline"
"281","registering"
"282","asylum"
"283","seekers"
"284","days"
"285","weeks"
"286","maximum"
"287","months"
"288","unhcr"
"289","measures"
"290","implemented"
"291","proposal"
"292","meet"
"293","international"
"294","standards"
"295","including"
"296","access"
"297","quality"
"298","asylum"
"299","procedures"
"300","legal"
"301","assistance"
"302","limiting"
"303","detention"
"304","bandit"
"305","attacks"
"306","force"
"307","thousands"
"308","nigerians"
"309","flee"
"310","niger"
"311","repeated"
"312","attacks"
"313","criminal"
"314","armed"
"315","locally"
"316","bandits"
"317","forced"
"318","11,500"
"319","people"
"320","nigeria’s"
"321","northwest"
"322","cross"
"323","neighbouring"
"324","niger"
"325","month"
"326","unhcr"
"327","43"
"328","people"
"329","killed"
"330","attack"
"331","bandits"
"332","town"
"333","nigeria’s"
"334","sokoto"
"335","14"
"336","november"
"337","government"
"338","figures"
"339","unhcr"
"340","violence"
"341","backdrop"
"342","intercommunal"
"343","clashes"
"344","farmers"
"345","herders"
"346","aggravated"
"347","climate"
"348","crisis"
"349","competition"
"350","increases"
"351","dwindling"
"352","resources"
"353","november"
"354","arrivals"
"355","shelter"
"356","local"
"357","communities"
"358","26"
"359","villages"
"360","bangui"
"361","niger’s"
"362","tahoua"
"363","region"
"364","hosting"
"365","3,500"
"366","nigerian"
"367","refugees"
"368","shared"
"369","stories"
"370","murder"
"371","kidnaping"
"372","ransom"
"373","arson"
"374","looting.aid"
"375","expected"
"376","surge"
"377","2022"
"378","amid"
"379","conflict"
"380","climate"
"381","change"
"382","covid"
"383","warned"
"384","thursday"
"385","humanitarian"
"386","aid"
"387","skyrocketing"
"388","worldwide"
"389","coronavirus"
"390","pandemic"
"391","continues"
"392","conflict"
"393","climate"
"394","change"
"395","push"
"396","people"
"397","poverty"
"398","displacement"
"399","food"
"400","insecurity"
"401","estimated"
"402","274"
"403","million"
"404","people"
"405","worldwide"
"406","form"
"407","humanitarian"
"408","assistance"
"409","235"
"410","million"
"411","figure"
"412","decades"
"413","appealing"
"414","record"
"415","41"
"416","billion"
"417","assist"
"418","183"
"419","million"
"420","vulnerable"
"421","people"
"422","63"
"423","countries"
"424","double"
"425","amount"
"426","requested"
"427","ago"
"428","global"
"429","humanitarian"
"430","overview"
"431","2022"
"432","highlights"
"433","soaring"
"434","brought"
"435","worsening"
"436","instability"
"437","countries"
"438","afghanistan"
"439","ethiopia"
"440","myanmar"
"441","protracted"
"442","conflicts"
"443","syria"
"444","yemen.pope"
"445","francis"
"446","highlight"
"447","plight"
"448","refugees"
"449","cyprus"
"450","greece"
"451","pope"
"452","arrived"
"453","cyprus"
"454","thursday"
"455","start"
"456","day"
"457","trip"
"458","bring"
"459","greece"
"460","island"
"461","lesvos"
"462","visited"
"463","2016"
"464","cyprus"
"465","rise"
"466","boat"
"467","arrivals"
"468","recent"
"469","10,800"
"470","arrivals"
"471","10"
"472","months"
"473","2021"
